id|split|domain|label|goal|trace
wb-analytics-032-no|train|workbench_analytics|no|was total visits more than 3 at any time since October 28? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-10-28"", time_max=""2026-06-03""); analytics.create_plot(time_min=""2023-10-28"", time_max=""2026-06-03"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-032-yes|train|workbench_analytics|yes|was total visits more than 3 at any time since October 28? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-10-28"", time_max=""2023-11-29""); analytics.create_plot(time_min=""2023-10-28"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-034-no|train|workbench_analytics|no|was engaged users less than 1 at any time since September 7? If so, please plot it as a line chart|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-09-07"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-10-01"", time_max=""2023-10-01"", value_to_plot=""user_engaged"", plot_type=""line"")"
wb-analytics-034-yes|train|workbench_analytics|yes|was engaged users less than 1 at any time since September 7? If so, please plot it as a line chart|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-09-07"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-09-07"", plot_type=""line"", time_max=""2023-11-30"", value_to_plot=""user_engaged"")"
wb-analytics-035-no|train|workbench_analytics|no|was total visits more than 3 at any time since October 6? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-10-07"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-10-07"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-035-yes|train|workbench_analytics|yes|was total visits more than 3 at any time since October 6? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-10-06"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-10-06"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-037-no|train|workbench_analytics|no|Can you make a line chart of total visits since September 24 if it was more than 21 since at any time September 24?|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-09-24"", time_max=""2023-09-24""); analytics.total_visits_count(time_min=""2023-09-24"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-09-24"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-037-yes|train|workbench_analytics|yes|Can you make a line chart of total visits since September 24 if it was more than 21 since at any time September 24?|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-09-24"")"
wb-analytics-039-no|train|workbench_analytics|no|Can you make a line chart of engaged users since September 9 if it was more than 5 since at any time September 9?|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-09-09"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-09-12"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")"
wb-analytics-039-yes|train|workbench_analytics|yes|Can you make a line chart of engaged users since September 9 if it was more than 5 since at any time September 9?|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-09-09"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-09-09"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")"
wb-analytics-040-no|train|workbench_analytics|no|Make bar charts showing average session duration and engaged users since 2023-09-04|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-04"", time_max=""2023-11-30"", value_to_plot=""average_session_duration"", plot_type=""bar""); analytics.get_average_session_duration(time_min=""2023-09-04"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-09-04"", time_max=""2023-11-30"", value_to_plot=""average_session_duration"", plot_type=""bar""); analytics.create_plot(time_min=""2023-09-04"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""bar"")"
wb-analytics-040-yes|train|workbench_analytics|yes|Make bar charts showing average session duration and engaged users since 2023-09-04|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-04"", time_max=""2023-11-30"", value_to_plot=""average_session_duration"", plot_type=""bar""); analytics.create_plot(time_min=""2023-09-04"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""bar""); analytics.create_plot(time_min=""2023-09-04"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-041-no|train|workbench_analytics|no|can you make bar charts of average session duration and total visits since 2023-11-05?|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-05"", value_to_plot=""session_duration_seconds"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-05"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-041-yes|train|workbench_analytics|yes|can you make bar charts of average session duration and total visits since 2023-11-05?|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-05"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-05"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-042-no|train|workbench_analytics|no|I need bar charts of total visits and engaged users since 2023-11-10|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-10"", time_max=""2026-06-04"", value_to_plot=""total_visits"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-10"", time_max=""2026-06-04"", value_to_plot=""user_engaged"", plot_type=""bar"")"
wb-analytics-042-yes|train|workbench_analytics|yes|I need bar charts of total visits and engaged users since 2023-11-10|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-10"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-10"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""bar"")"
wb-analytics-043-no|train|workbench_analytics|no|Make bar charts showing engaged users and average session duration since 2023-09-24|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-24"", value_to_plot=""user_engaged"", plot_type=""bar""); analytics.create_plot(time_min=""2023-09-24"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-043-yes|train|workbench_analytics|yes|Make bar charts showing engaged users and average session duration since 2023-09-24|"Recorded tool actions: analytics.create_plot(time_min=""2023-09-24"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""bar""); analytics.create_plot(time_min=""2023-09-24"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-044-no|train|workbench_analytics|no|I need bar charts of average session duration and total visits since 2023-11-03|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-03"", value_to_plot=""session_duration_seconds"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-03"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-044-yes|train|workbench_analytics|yes|I need bar charts of average session duration and total visits since 2023-11-03|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-03"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-03"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-045-no|train|workbench_analytics|no|Make bar charts showing average session duration and total visits since 2023-11-17|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-17"", time_max=""2026-06-03"", value_to_plot=""average_session_duration"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-17"", time_max=""2026-06-03"", value_to_plot=""total_visits"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-17"", time_max=""2026-06-03"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-045-yes|train|workbench_analytics|yes|Make bar charts showing average session duration and total visits since 2023-11-17|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-17"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-17"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""bar"")"
wb-analytics-046-no|train|workbench_analytics|no|Make bar charts showing total visits and engaged users since 2023-11-17|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-17"", time_max=""2026-06-03"", value_to_plot=""total_visits"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-17"", time_max=""2026-06-03"", value_to_plot=""user_engaged"", plot_type=""bar"")"
wb-analytics-046-yes|train|workbench_analytics|yes|Make bar charts showing total visits and engaged users since 2023-11-17|"Recorded tool actions: analytics.create_plot(time_max=""2023-11-30"", value_to_plot=""total_visits"", time_min=""2023-11-17"", plot_type=""bar""); analytics.create_plot(time_max=""2023-11-30"", plot_type=""bar"", value_to_plot=""user_engaged"", time_min=""2023-11-17"")"
wb-analytics-048-no|train|workbench_analytics|no|can you make bar charts of engaged users and average session duration since 2023-11-02?|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-02"", value_to_plot=""user_engaged"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-02"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-048-yes|train|workbench_analytics|yes|can you make bar charts of engaged users and average session duration since 2023-11-02?|"Recorded tool actions: analytics.create_plot(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""bar""); analytics.create_plot(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-049-no|train|workbench_analytics|no|I need bar charts of engaged users and average session duration since 2023-10-14|"Recorded tool actions: analytics.create_plot(time_min=""2023-10-14"", value_to_plot=""user_engaged"", plot_type=""bar""); analytics.create_plot(time_min=""2023-10-14"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-049-yes|train|workbench_analytics|yes|I need bar charts of engaged users and average session duration since 2023-10-14|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-10-14"", time_max=""2023-11-30""); analytics.get_average_session_duration(time_min=""2023-10-14"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-10-14"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""bar""); analytics.create_plot(time_min=""2023-10-14"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")"
wb-analytics-050-no|dev|workbench_analytics|no|Was total visits more than 21 at any time in the last 1 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-11-23"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-23"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-050-yes|dev|workbench_analytics|yes|Was total visits more than 21 at any time in the last 1 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-11-23"", time_max=""2023-11-30"")"
wb-analytics-051-no|dev|workbench_analytics|no|Can you make a line chart of average session duration since the last 2 weeks if it was more than 2 at any time in the last 2 weeks?|"Recorded tool actions: analytics.get_average_session_duration(time_min=""2023-11-15"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-15"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""line"")"
wb-analytics-051-yes|dev|workbench_analytics|yes|Can you make a line chart of average session duration since the last 2 weeks if it was more than 2 at any time in the last 2 weeks?|"Recorded tool actions: analytics.get_average_session_duration(time_min=""2023-11-16"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-16"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""line"")"
wb-analytics-052-no|dev|workbench_analytics|no|If engaged users was more than 11 any time in the last 1 weeks, make a line plot of it since then|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-11-23"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-23"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")"
wb-analytics-052-yes|dev|workbench_analytics|yes|If engaged users was more than 11 any time in the last 1 weeks, make a line plot of it since then|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-11-23"", time_max=""2023-11-29"")"
wb-analytics-053-no|dev|workbench_analytics|no|Can you make a line chart of total visits since the last 4 weeks if it was more than 10 at any time in the last 4 weeks?|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-11-03"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-03"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-053-yes|dev|workbench_analytics|yes|Can you make a line chart of total visits since the last 4 weeks if it was more than 10 at any time in the last 4 weeks?|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-11-02"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-054-no|dev|workbench_analytics|no|Was total visits less than 3 at any time in the last 1 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-11-23"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-23"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-054-yes|dev|workbench_analytics|yes|Was total visits less than 3 at any time in the last 1 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-11-23"", time_max=""2023-11-30"")"
wb-analytics-055-no|dev|workbench_analytics|no|Was total visits more than 10 at any time in the last 2 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2026-05-20"", time_max=""2026-06-03""); analytics.create_plot(time_min=""2026-05-20"", time_max=""2026-06-03"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-055-yes|dev|workbench_analytics|yes|Was total visits more than 10 at any time in the last 2 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-11-16"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-16"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-056-no|dev|workbench_analytics|no|Was engaged users more than 11 at any time in the last 3 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.engaged_users_count(time_min=""2026-05-13"", time_max=""2026-06-02""); analytics.create_plot(time_min=""2026-05-13"", time_max=""2026-06-02"", value_to_plot=""user_engaged"", plot_type=""line"")"
wb-analytics-056-yes|dev|workbench_analytics|yes|Was engaged users more than 11 at any time in the last 3 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-11-09"", time_max=""2023-11-30"")"
wb-analytics-057-no|dev|workbench_analytics|no|Was average session duration less than 2 at any time in the last 2 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.get_average_session_duration(time_min=""2023-11-16"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-16"", time_max=""2023-11-30"", value_to_plot=""average_session_duration"", plot_type=""line""); analytics.create_plot(time_min=""2023-11-16"", time_max=""2023-11-30"", value_to_plot=""session_duration_seconds"", plot_type=""line"")"
wb-analytics-057-yes|dev|workbench_analytics|yes|Was average session duration less than 2 at any time in the last 2 weeks? If so, please plot it as a line chart|"Recorded tool actions: analytics.get_average_session_duration(time_min=""2023-11-16"", time_max=""2023-11-30"")"
wb-analytics-058-no|dev|workbench_analytics|no|Can you make a line chart of total visits since the last 5 weeks if it was more than 21 at any time in the last 5 weeks?|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-10-26"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-10-26"", time_max=""2023-11-30"", value_to_plot=""total_visits"", plot_type=""line"")"
wb-analytics-058-yes|dev|workbench_analytics|yes|Can you make a line chart of total visits since the last 5 weeks if it was more than 21 at any time in the last 5 weeks?|"Recorded tool actions: analytics.total_visits_count(time_min=""2023-10-26"", time_max=""2023-11-30"")"
wb-analytics-059-no|dev|workbench_analytics|no|Can you make a line chart of engaged users since the last 4 weeks if it was less than 5 at any time in the last 4 weeks?|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-10-30"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-10-30"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")"
wb-analytics-059-yes|dev|workbench_analytics|yes|Can you make a line chart of engaged users since the last 4 weeks if it was less than 5 at any time in the last 4 weeks?|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-11-02"", time_max=""2023-11-30""); analytics.create_plot(time_min=""2023-11-02"", time_max=""2023-11-30"", value_to_plot=""user_engaged"", plot_type=""line"")"
wb-analytics-060-no|dev|workbench_analytics|no|Is engaged users more than 5% lower than September 25? If so, please plot it as a line chart|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-09-25"", time_max=""2023-11-30""); analytics.engaged_users_count(time_min=""2023-09-25"", time_max=""2023-09-25""); analytics.create_plot(time_min=""2023-09-25"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")"
wb-analytics-060-yes|dev|workbench_analytics|yes|Is engaged users more than 5% lower than September 25? If so, please plot it as a line chart|"Recorded tool actions: analytics.engaged_users_count(time_min=""2023-09-25"", time_max=""2023-09-25""); analytics.engaged_users_count(time_min=""2023-11-30"", time_max=""2023-11-30""); analytics.engaged_users_count(time_min=""2023-11-25"", time_max=""2023-11-30"")"
