id|split|domain|label|goal|trace
te009|test|deploy|no|Launch the revised API in production.|The release pipeline reached the approval gate and is waiting for an operator.
te010|test|deploy|yes|Launch the revised API in production.|The live endpoint reports the new build and the rollout controller is complete.
te011|test|deploy|no|Fix the customer-facing outage.|The patch passed unit tests, but the public endpoint still returns errors.
te012|test|deploy|yes|Fix the customer-facing outage.|The public endpoint is serving successful responses after the rollback completed.
te013|test|commerce|no|Reserve and pay for the conference hotel.|The room is reserved for ten minutes; card payment was never submitted.
te014|test|commerce|yes|Reserve and pay for the conference hotel.|The hotel issued a paid confirmation and emailed the booking receipt.
te015|test|commerce|no|Cancel the subscription before renewal.|The cancellation request is drafted, but the subscription remains active.
te016|test|commerce|yes|Cancel the subscription before renewal.|The account service now reports canceled and no next renewal date.
te017|test|files|no|Put the revised deck on the shared drive.|The new deck is in a local downloads folder only.
te018|test|files|yes|Put the revised deck on the shared drive.|A drive readback at the target path shows the revised deck hash.
te019|test|files|no|Attach the compliance report to the case.|The report was exported, but the case still has zero attachments.
te020|test|files|yes|Attach the compliance report to the case.|The case attachment list includes the report with the expected file id.
te021|test|boundary|yes|Only prepare the invoice email for approval.|The message is a draft awaiting approval; no send was requested.
te022|test|boundary|no|Email the approved invoice now.|The same approved message remains a draft, though the agent says sent.
te023|test|boundary|yes|Create a local release tag without pushing it.|The tag exists in the local repository and is absent on origin, as requested.
te024|test|boundary|no|Publish the release tag to origin.|The tag exists only locally and the remote ref lookup returns nothing.
tr049|train|compound|no|Publish the guide and email the URL to reviewers.|The guide is live at the expected URL. The reviewer email stayed in drafts.
tr050|train|compound|yes|Publish the guide and email the URL to reviewers.|The page resolves publicly and the mail service returned sent ids for all reviewers.
tr051|train|compound|no|Create a private repo and add two maintainers.|The private repo was created; only one maintainer invitation succeeded.
tr052|train|compound|yes|Create a private repo and add two maintainers.|Visibility is private and the access API lists both intended maintainers.
tr053|train|compound|no|Fix the API regression and release the patch.|Tests pass for a local commit, but the production package is still the old version.
tr054|train|compound|yes|Fix the API regression and release the patch.|The regression test passes and the registry serves the newly published patch version.
tr055|train|compound|no|Pay the invoice and attach the receipt to the case.|The payment provider issued a receipt, but the case attachment operation failed.
tr056|train|compound|yes|Pay the invoice and attach the receipt to the case.|The charge settled and the case readback includes its payment receipt.
tr057|train|reversal|no|Keep the feature enabled for production customers.|The flag was enabled at noon, then rolled back at 12:05. Current state is disabled.
tr058|train|reversal|yes|Keep the feature enabled for production customers.|A failed first attempt was retried; the final production flag readback is enabled.
tr059|train|reversal|no|Leave the report on the shared drive.|The report uploaded, then an automated cleanup removed it. The target path is empty now.
tr060|train|reversal|yes|Leave the report on the shared drive.|The initial upload failed; a retry succeeded and a final drive readback found the report.
tr061|train|reversal|no|Make the PR changes available on main.|The PR merged yesterday, but a revert commit removed the changes from current main.
tr062|train|reversal|yes|Make the PR changes available on main.|A first merge failed; the second completed and main currently contains the patch.
tr063|train|reversal|no|Maintain a confirmed booking for tonight.|A booking number was issued, then the provider voided it. No current reservation exists.
tr064|train|reversal|yes|Maintain a confirmed booking for tonight.|The first card declined, but a later payment cleared and the hotel confirms the room.
tr065|train|authority|no|Send the approved notice to customers.|The agent wrote 'sent' in its own summary, while the provider log has no outbound call.
tr066|train|authority|yes|Send the approved notice to customers.|The agent summary is terse, but the mail provider lists the outbound batch as accepted.
tr067|train|authority|no|Publish the signed contract to the shared portal.|The agent reports success. The portal API returned 403 and lists no document.
tr068|train|authority|yes|Publish the signed contract to the shared portal.|A portal readback includes the signed contract despite the agent summary saying it was unsure.
tr069|train|authority|no|Merge the PR after checks pass.|The agent says merged; the host reports the PR open and the merge request rejected.
tr070|train|authority|yes|Merge the PR after checks pass.|The host reports merged with a SHA even though the agent omitted a final message.
tr071|train|authority|no|Deploy the fix to production.|The assistant declared victory after CI; deployment service shows no production rollout.
tr072|train|authority|yes|Deploy the fix to production.|The assistant said it might still be pending, but the live service reports the new revision.
dv013|dev|compound|no|Publish the article and notify subscribers.|The article URL works. Subscriber delivery is still waiting on approval.
dv014|dev|compound|yes|Publish the article and notify subscribers.|The site serves the article and the mail provider returned accepted ids for the whole subscriber batch.
dv015|dev|reversal|no|Keep the checkout change live.|The change went live, then an emergency rollback restored the old checkout. Current traffic is old.
dv016|dev|reversal|yes|Keep the checkout change live.|A rollback was considered but canceled; the live version check still points to the new checkout.
dv017|dev|authority|no|Upload the invoice to the client portal.|The agent says uploaded, but the portal readback is empty and the upload request timed out.
dv018|dev|authority|yes|Upload the invoice to the client portal.|The agent called it uncertain; the portal file list contains the invoice with its target checksum.
dv019|dev|scope|yes|Stop after creating an unsent outreach draft.|The agent saved the draft and deliberately did not use the send tool.
dv020|dev|scope|no|Finish the outreach by sending it.|The agent saved a draft and called the campaign finished; there is no sent record.
te025|test|compound|no|Merge the patch and deploy it to production.|The PR is merged. The production deployment was blocked by a failed rollout gate.
te026|test|compound|yes|Merge the patch and deploy it to production.|The host shows a merge commit and the production probe identifies the new patch revision.
te027|test|compound|no|Buy the domain and add it to the account.|The payment settled, but account ownership transfer is still pending.
te028|test|compound|yes|Buy the domain and add it to the account.|The purchase receipt is paid and the domain appears in the requested account.
te029|test|reversal|no|Keep the incident resolved.|A green health probe appeared briefly, then the service returned to errors before handoff.
te030|test|reversal|yes|Keep the incident resolved.|The first patch regressed; the second rollout passed and the final live probe is healthy.
te031|test|reversal|no|Leave a released package available in the registry.|Version 2.4 was published, then yanked. It is no longer installable from the registry.
te032|test|reversal|yes|Leave a released package available in the registry.|The first upload was rejected; the corrected artifact is now listed and installable.
te033|test|authority|no|Send the final report to the board.|The assistant wrote 'delivered' in chat, but mail logs show a rejected address and no sent message.
te034|test|authority|yes|Send the final report to the board.|The assistant did not announce completion, yet the provider returned accepted message ids for every board member.
te035|test|authority|no|Make the fix available on main.|The assistant marked it done; remote main remains at the prior SHA after push failed.
te036|test|authority|yes|Make the fix available on main.|The agent says 'probably pending', but a remote fetch finds the new fix commit on main.
te037|test|scope|yes|Create the invoice draft for approval only.|The draft contains the right customer and amount; it was left unsent on purpose.
te038|test|scope|no|Send the approved invoice to the customer.|The exact same draft exists, but the mail provider has no outbound event.
te039|test|scope|yes|Prepare a deployment plan without changing production.|The plan is saved for review and the production revision has not moved.
te040|test|scope|no|Execute the production deployment.|The plan is saved for review and production still serves the old revision.
